"SUBJID","SAMPID","SMTS","SMNABTCH","SMNABTCHD","SMGEBTCHT","SMAFRZE","SMCENTER","SMRIN","SMATSSCR"
"GTEX-111CU","GTEX-111CU-0226-SM-5GZXC","Thyroid","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",7.4,0
"GTEX-111CU","GTEX-111CU-0326-SM-5GZXO","Lung","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",7.6,0
"GTEX-111CU","GTEX-111CU-0426-SM-5GZY1","Spleen","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",7.3,0
"GTEX-111CU","GTEX-111CU-0526-SM-5EGHK","Pancreas","BP-43495",2013-09-12,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-111CU","GTEX-111CU-0626-SM-5EGHL","Esophagus","BP-43495",2013-09-12,"TruSeq.v1","RNASEQ","B1",7.9,0
"GTEX-111CU","GTEX-111CU-0726-SM-5GZYD","Esophagus","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",8.8,0
"GTEX-111CU","GTEX-111CU-0826-SM-5EGIJ","Esophagus","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",8,0
"GTEX-111CU","GTEX-111CU-0926-SM-5EGIK","Stomach","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",7.8,0
"GTEX-111CU","GTEX-111CU-1026-SM-5EGIL","Adipose Tissue","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",7.4,0
"GTEX-111CU","GTEX-111CU-1126-SM-5EGIM","Skin","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",6.5,1
"GTEX-111CU","GTEX-111CU-1226-SM-5EGIN","Colon","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-111CU","GTEX-111CU-1326-SM-5NQ8L","Small Intestine","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-111CU","GTEX-111CU-1426-SM-5GZYP","Colon","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",7.8,1
"GTEX-111CU","GTEX-111CU-1526-SM-5N9FS","Prostate","BP-43783",2013-09-19,"TruSeq.v1","RNASEQ","B1",5.7,1
"GTEX-111CU","GTEX-111CU-1726-SM-5EGHM","Testis","BP-43495",2013-09-12,"TruSeq.v1","RNASEQ","B1",6.9,0
"GTEX-111CU","GTEX-111CU-1826-SM-5GZYN","Adipose Tissue","BP-43783",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-111CU","GTEX-111CU-1926-SM-5GZYZ","Skin","BP-43783",2013-09-19,"TruSeq.v1","EXCLUDE","B1",5.9,1
"GTEX-111CU","GTEX-111CU-2026-SM-5GZZC","Muscle","BP-43783",2013-09-19,"TruSeq.v1","RNASEQ","B1",8.1,1
"GTEX-111CU","GTEX-111CU-2226-SM-5N9G5","Nerve","BP-43783",2013-09-19,"TruSeq.v1","RNASEQ","B1",5.7,1
"GTEX-111FC","GTEX-111FC-0126-SM-5N9DL","Skin","BP-43989",2013-09-26,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-111FC","GTEX-111FC-0226-SM-5N9B8","Adipose Tissue","BP-43989",2013-09-26,"TruSeq.v1","RNASEQ","B1",7.3,2
"GTEX-111FC","GTEX-111FC-0326-SM-5GZZ1","Muscle","BP-43529",2013-09-13,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-111FC","GTEX-111FC-0426-SM-5N9CV","Thyroid","BP-43989",2013-09-26,"TruSeq.v1","RNASEQ","B1",6.1,1
"GTEX-11NV4","GTEX-11NV4-0826-SM-5BC4S","Heart","BP-44264",2013-10-03,"TruSeq.v1","RNASEQ","B1",6.7,1
"GTEX-11NV4","GTEX-11NV4-1126-SM-5HL6J","Lung","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.1,1
"GTEX-11NV4","GTEX-11NV4-1326-SM-5HL6V","Liver","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",5.9,1
"GTEX-11NV4","GTEX-11NV4-1426-SM-5BC4W","Adipose Tissue","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.7,0
"GTEX-11NV4","GTEX-11NV4-1726-SM-5N9FC","Testis","BP-44264",2013-10-03,"TruSeq.v1","RNASEQ","B1",5.7,2
"GTEX-11NV4","GTEX-11NV4-1926-SM-5N9D4","Salivary Gland","BP-43989",2013-09-26,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11NV4","GTEX-11NV4-2026-SM-5N9DG","Breast","BP-43989",2013-09-26,"TruSeq.v1","RNASEQ","B1",5.8,0
"GTEX-11NV4","GTEX-11NV4-2126-SM-5N9DS","Brain","BP-43989",2013-09-26,"TruSeq.v1","RNASEQ","B1",5.8,1
"GTEX-11NV4","GTEX-11NV4-2226-SM-5BC4T","Brain","BP-44264",2013-10-03,"TruSeq.v1","RNASEQ","B1",6.9,1
"GTEX-11NV4","GTEX-11NV4-2326-SM-5BC4X","Pituitary","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-11O72","GTEX-11O72-0126-SM-59887","Skin","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.5,0
"GTEX-11O72","GTEX-11O72-0226-SM-59869","Adipose Tissue","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",6.4,0
"GTEX-11O72","GTEX-11O72-0326-SM-5986D","Muscle","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.7,1
"GTEX-11O72","GTEX-11O72-0426-SM-5BC5B","Blood Vessel","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","C1",6.9,1
"GTEX-11O72","GTEX-11O72-0526-SM-5Q5AO","Nerve","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",7.2,0
"GTEX-11O72","GTEX-11O72-0626-SM-5PNYE","Skin","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",7.7,1
"GTEX-11O72","GTEX-11O72-0726-SM-5P9GO","Testis","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",6.1,1
"GTEX-11O72","GTEX-11O72-1026-SM-5986B","Heart","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",6.2,0
"GTEX-11O72","GTEX-11O72-1126-SM-5N9E2","Heart","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",5.7,0
"GTEX-11O72","GTEX-11O72-1326-SM-5BC5A","Lung","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","C1",5.8,2
"GTEX-11O72","GTEX-11O72-1926-SM-5PNW1","Esophagus","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",6.2,1
"GTEX-11O72","GTEX-11O72-2026-SM-5N9G8","Esophagus","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",5.7,1
"GTEX-11O72","GTEX-11O72-2126-SM-5N9FO","Breast","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",5.7,1
"GTEX-11O72","GTEX-11O72-2226-SM-5PNW2","Colon","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","C1",6.3,3
"GTEX-11O72","GTEX-11O72-2326-SM-5BC7H","Thyroid","BP-44264",2013-10-03,"TruSeq.v1","RNASEQ","C1",7.1,2
"GTEX-11O72","GTEX-11O72-2726-SM-5HL6K","Prostate","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",6.1,3
"GTEX-11O72","GTEX-11O72-2826-SM-5HL6W","Brain","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",7.5,1
"GTEX-11O72","GTEX-11O72-2926-SM-5BC4V","Brain","BP-44264",2013-10-03,"TruSeq.v1","RNASEQ","C1",6.3,2
"GTEX-11O72","GTEX-11O72-3026-SM-5986R","Pituitary","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",7.2,2
"GTEX-11OC5","GTEX-11OC5-0126-SM-5HL6A","Skin","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",6.5,0
"GTEX-11OC5","GTEX-11OC5-0326-SM-5PNW5","Muscle","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",9,0
"GTEX-11OC5","GTEX-11OC5-0426-SM-5Q5AR","Blood Vessel","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7,0
"GTEX-11OC5","GTEX-11OC5-0526-SM-5N9EE","Nerve","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",5.7,0
"GTEX-11OC5","GTEX-11OC5-0626-SM-5HL6M","Brain","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-11OC5","GTEX-11OC5-0726-SM-5P9JK","Brain","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",6,1
"GTEX-11OF3","GTEX-11OF3-0126-SM-5PNYF","Skin","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",6.7,1
"GTEX-11OF3","GTEX-11OF3-0626-SM-5BC4Y","Thyroid","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.5,2
"GTEX-11OF3","GTEX-11OF3-0726-SM-5BC4Z","Liver","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6,2
"GTEX-11OF3","GTEX-11OF3-0826-SM-5BC51","Adipose Tissue","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.2,0
"GTEX-11OF3","GTEX-11OF3-1126-SM-5986C","Lung","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.9,2
"GTEX-11OF3","GTEX-11OF3-1326-SM-5N9FJ","Kidney","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",5.7,2
"GTEX-11OF3","GTEX-11OF3-1726-SM-5GU5Q","Prostate","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",5.9,3
"GTEX-11OF3","GTEX-11OF3-1826-SM-5987N","Testis","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.1,2
"GTEX-11OF3","GTEX-11OF3-1926-SM-59889","Breast","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.4,1
"GTEX-11OF3","GTEX-11OF3-2226-SM-5986F","Esophagus","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",5.9,1
"GTEX-11OF3","GTEX-11OF3-2326-SM-5GU73","Esophagus","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.2,1
"GTEX-11OF3","GTEX-11OF3-2426-SM-5Q5AS","Adipose Tissue","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-11OF3","GTEX-11OF3-2526-SM-5P9JL","Muscle","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.7,0
"GTEX-11OF3","GTEX-11OF3-2626-SM-5GU7F","Skin","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.3,0
"GTEX-11OF3","GTEX-11OF3-2926-SM-5HL78","Brain","BP-43730",2013-09-18,"TruSeq.v1","EXCLUDE","B1",6.3,1
"GTEX-11OF3","GTEX-11OF3-3026-SM-5GU52","Pituitary","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.1,2
"GTEX-11OF3","GTEX-11OF3-3126-SM-5GU5E","Brain","BP-44312",2013-10-04,"TruSeq.v1","EXCLUDE","B1",7.3,1
"GTEX-11ONC","GTEX-11ONC-0126-SM-5PNW6","Heart","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",5.7,0
"GTEX-11ONC","GTEX-11ONC-0526-SM-5BC57","Pancreas","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-11ONC","GTEX-11ONC-0926-SM-5BC5E","Blood Vessel","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-11ONC","GTEX-11ONC-1026-SM-5GU64","Heart","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.9,0
"GTEX-11ONC","GTEX-11ONC-1126-SM-5GU6G","Blood Vessel","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.1,1
"GTEX-11ONC","GTEX-11ONC-1426-SM-5N9F4","Esophagus","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",5.7,1
"GTEX-11ONC","GTEX-11ONC-1526-SM-5GU6S","Esophagus","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.5,1
"GTEX-11ONC","GTEX-11ONC-1926-SM-5GU75","Colon","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",5.8,0
"GTEX-11ONC","GTEX-11ONC-2026-SM-5HL61","Colon","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",6.3,2
"GTEX-11ONC","GTEX-11ONC-2126-SM-5HL6E","Breast","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-11ONC","GTEX-11ONC-2226-SM-5HL6D","Testis","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",5.8,1
"GTEX-11ONC","GTEX-11ONC-2326-SM-5HL6P","Nerve","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",6.7,0
"GTEX-11ONC","GTEX-11ONC-2426-SM-5GU7H","Muscle","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.6,0
"GTEX-11ONC","GTEX-11ONC-2526-SM-5986W","Adipose Tissue","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-11ONC","GTEX-11ONC-2726-SM-5N9DZ","Blood Vessel","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",5.7,1
"GTEX-11ONC","GTEX-11ONC-2826-SM-5P9GQ","Pituitary","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",6.5,2
"GTEX-11ONC","GTEX-11ONC-2926-SM-5P9JM","Brain","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",6.7,1
"GTEX-11ONC","GTEX-11ONC-3026-SM-5985W","Brain","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.1,1
"GTEX-11P7K","GTEX-11P7K-0126-SM-5986E","Adrenal Gland","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",8.8,1
"GTEX-11P7K","GTEX-11P7K-0226-SM-5986Z","Thyroid","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",7,1
"GTEX-11P7K","GTEX-11P7K-0326-SM-59871","Lung","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.9,1
"GTEX-11P7K","GTEX-11P7K-0426-SM-5BC5H","Spleen","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",5.8,1
"GTEX-11P7K","GTEX-11P7K-0526-SM-5BC5I","Pancreas","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.9,0
"GTEX-11P7K","GTEX-11P7K-0626-SM-5985Z","Prostate","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",7.9,1
"GTEX-11P7K","GTEX-11P7K-0726-SM-5EGKX","Breast","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",8.4,0
"GTEX-11P7K","GTEX-11P7K-0826-SM-5BC5F","Adipose Tissue","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",7.6,0
"GTEX-11P7K","GTEX-11P7K-1026-SM-5HL6Y","Testis","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",6.9,0
"GTEX-11P7K","GTEX-11P7K-1126-SM-5HL4L","Skin","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.3,0
"GTEX-11P7K","GTEX-11P7K-1226-SM-5HL4X","Esophagus","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.4,0
"GTEX-11P7K","GTEX-11P7K-1326-SM-5BC5G","Esophagus","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",9.2,0
"GTEX-11P7K","GTEX-11P7K-1426-SM-5EGKY","Esophagus","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",8.4,0
"GTEX-11P7K","GTEX-11P7K-1526-SM-5EGI7","Colon","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",9,1
"GTEX-11P7K","GTEX-11P7K-1626-SM-5GU63","Small Intestine","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.5,1
"GTEX-11P7K","GTEX-11P7K-1726-SM-5GU6F","Stomach","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.5,1
"GTEX-11P7K","GTEX-11P7K-1826-SM-5HL5A","Colon","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.6,1
"GTEX-11P7K","GTEX-11P7K-1926-SM-5GU6R","Muscle","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",9,0
"GTEX-11P7K","GTEX-11P7K-2026-SM-5GU74","Adipose Tissue","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.7,0
"GTEX-11P7K","GTEX-11P7K-2126-SM-5GU7G","Skin","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.8,0
"GTEX-11P7K","GTEX-11P7K-2226-SM-5GU56","Nerve","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",6.3,0
"GTEX-11P7K","GTEX-11P7K-2326-SM-5EGKZ","Blood Vessel","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-11P81","GTEX-11P81-0126-SM-5HL5Y","Thyroid","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",6.8,1
"GTEX-11P81","GTEX-11P81-0226-SM-5HL5M","Lung","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.5,1
"GTEX-11P81","GTEX-11P81-0326-SM-5HL6B","Blood Vessel","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.7,1
"GTEX-11P81","GTEX-11P81-0526-SM-59873","Heart","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",8.3,0
"GTEX-11P81","GTEX-11P81-0726-SM-5PNYH","Adipose Tissue","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.9,1
"GTEX-11P81","GTEX-11P81-0826-SM-5P9GR","Esophagus","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",9.4,0
"GTEX-11P81","GTEX-11P81-0926-SM-59874","Esophagus","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11P81","GTEX-11P81-1026-SM-5GU54","Esophagus","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.8,1
"GTEX-11P81","GTEX-11P81-1126-SM-5GU5G","Colon","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11P81","GTEX-11P81-1326-SM-5GU5S","Spleen","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.1,1
"GTEX-11P81","GTEX-11P81-1426-SM-5P9JN","Colon","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.6,1
"GTEX-11P81","GTEX-11P81-1526-SM-5P9GS","Ovary","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",8.5,0
"GTEX-11P81","GTEX-11P81-1626-SM-5BC52","Uterus","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",8.3,0
"GTEX-11P81","GTEX-11P81-1926-SM-5BC53","Breast","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",7.6,1
"GTEX-11P81","GTEX-11P81-2026-SM-5P9GT","Salivary Gland","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",8.2,1
"GTEX-11P81","GTEX-11P81-2126-SM-5HL6N","Vagina","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-11P81","GTEX-11P81-2226-SM-5PNYI","Skin","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.1,0
"GTEX-11P81","GTEX-11P81-2326-SM-59875","Skin","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",8.4,0
"GTEX-11P81","GTEX-11P81-2426-SM-5GU65","Adipose Tissue","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.4,0
"GTEX-11P81","GTEX-11P81-2526-SM-5GU6H","Muscle","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",8,1
"GTEX-11P81","GTEX-11P81-2626-SM-5GU6T","Nerve","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","B1",7.6,0
"GTEX-11P81","GTEX-11P81-2726-SM-59876","Blood Vessel","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.6,1
"GTEX-11P82","GTEX-11P82-0126-SM-5HL72","Blood Vessel","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.3,1
"GTEX-11P82","GTEX-11P82-0226-SM-5HL4O","Thyroid","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",6.1,1
"GTEX-11P82","GTEX-11P82-0326-SM-5HL51","Adipose Tissue","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.5,1
"GTEX-11P82","GTEX-11P82-0426-SM-5HL5D","Esophagus","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.7,1
"GTEX-11P82","GTEX-11P82-0526-SM-5986P","Esophagus","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",9,1
"GTEX-11P82","GTEX-11P82-0626-SM-5PNYK","Esophagus","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.9,1
"GTEX-11P82","GTEX-11P82-0726-SM-5PNYL","Stomach","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.5,1
"GTEX-11P82","GTEX-11P82-0826-SM-5P9GU","Small Intestine","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",8.4,1
"GTEX-11P82","GTEX-11P82-0926-SM-5986X","Salivary Gland","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",9.2,0
"GTEX-11P82","GTEX-11P82-1026-SM-5BC5J","Colon","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-11P82","GTEX-11P82-1126-SM-5BC5K","Prostate","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",7.2,1
"GTEX-11P82","GTEX-11P82-1226-SM-5HL5P","Colon","BP-43753",2013-09-19,"TruSeq.v1","EXCLUDE","B1",7,1
"GTEX-11P82","GTEX-11P82-1326-SM-5HL62","Breast","BP-43753",2013-09-19,"TruSeq.v1","RNASEQ","B1",7.5,0
"GTEX-11P82","GTEX-11P82-1426-SM-5BC5L","Skin","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",7.8,0
"GTEX-11P82","GTEX-11P82-1526-SM-5BC5M","Testis","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","B1",6.7,0
"GTEX-11P82","GTEX-11P82-1626-SM-59879","Skin","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","B1",6.2,0
"GTEX-11P82","GTEX-11P82-1726-SM-5Q5AT","Adipose Tissue","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.6,0
"GTEX-11P82","GTEX-11P82-1826-SM-5PNYJ","Muscle","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",7.6,0
"GTEX-11P82","GTEX-11P82-1926-SM-5Q5AU","Nerve","BP-47888",2014-01-06,"TruSeq.v1","RNASEQ","B1",5.7,0
"GTEX-11PRG","GTEX-11PRG-0126-SM-5BC55","Nerve","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","C1",6.1,0
"GTEX-11PRG","GTEX-11PRG-0326-SM-5GU53","Muscle","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","C1",7.7,0
"GTEX-11PRG","GTEX-11PRG-0626-SM-5BC56","Adipose Tissue","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","C1",6.8,0
"GTEX-11PRG","GTEX-11PRG-0726-SM-5EGL1","Skin","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","C1",6.1,0
"GTEX-11PRG","GTEX-11PRG-0826-SM-5EQ6A","Breast","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","C1",7,1
"GTEX-11PRG","GTEX-11PRG-0926-SM-5EGI8","Lung","BP-45028",2013-10-24,"TruSeq.v1","RNASEQ","C1",5.8,2
"GTEX-11PRG","GTEX-11PRG-1526-SM-5HL6Z","Adipose Tissue","BP-43730",2013-09-18,"TruSeq.v1","RNASEQ","C1",5.9,1
"GTEX-11PRG","GTEX-11PRG-2026-SM-5GU5F","Colon","BP-44312",2013-10-04,"TruSeq.v1","RNASEQ","C1",5.8,1
"GTEX-11PRG","GTEX-11PRG-2226-SM-5GU5R","Kidney","BP-44312",2013-10-04,"TruSeq.v1","EXCLUDE","C1",6,3
"GTEX-11PRG","GTEX-11PRG-2826-SM-5BC54","Brain","BP-44512",2013-10-10,"TruSeq.v1","RNASEQ","C1",6.7,1
"GTEX-11PRG","GTEX-11PRG-2926-SM-5987A","Brain","BP-44902",2013-10-22,"TruSeq.v1","RNASEQ","C1",5.9,1
"GTEX-11TT1","GTEX-11TT1-0126-SM-5LUAA","Adrenal Gland","BP-45139",2013-10-28,"TruSeq.v1","RNASEQ","B1",9.7,0
